UniqueCount	AmbigCount
0	16
0	16
0	18
0	18
0	20
0	17
0	17
0	19
0	17
0	17
0	17
0	17
0	17
0	17
0	19
0	19
0	19
0	19
0	19
0	21
0	19
0	17
0	19
0	18
0	18
0	10
0	10
4	54
0	2
0	59
0	112
0	81
0	111
0	92
0	97
0	110
0	102
0	95
0	125
0	38
0	88
0	95
0	117
0	77
0	110
0	140
0	96
0	42
0	101
0	81
0	92
0	96
0	47
0	108
0	112
0	81
0	72
0	64
0	80
0	79
0	106
0	100
0	116
0	192
0	97
0	94
0	93
0	43
0	96
0	191
0	176
0	80
0	78
0	111
0	137
0	154
0	108
0	79
0	51
0	44
0	78
0	188
0	87
0	50
0	114
0	87
0	116
0	36
0	99
0	64
0	103
0	95
0	44
0	87
0	142
0	96
0	43
0	110
0	88
0	13
0	110
0	184
0	111
0	172
0	111
0	91
0	78
0	97
0	224
0	90
0	42
0	52
0	163
0	141
0	109
0	91
0	97
0	98
0	103
0	123
0	66
0	76
0	176
0	183
0	57
0	84
0	43
0	42
0	72
0	109
0	119
0	93
0	48
0	43
0	26
0	138
0	99
0	57
0	72
0	9
0	43
0	48
0	78
0	41
0	82
0	100
0	56
0	194
0	52
0	94
0	97
0	74
0	111
0	81
0	142
0	78
0	175
0	179
0	71
0	102
0	170
0	224
0	116
0	80
0	177
0	127
0	116
0	122
0	95
0	80
0	128
0	28
0	24
0	5
0	7
0	34
0	11
0	9
0	14
0	42
0	4
0	22
0	23
0	7
0	7
0	33
0	7
0	9
0	9
0	7
0	17
0	8
0	20
0	40
0	10
0	116
0	42
0	24
0	112
0	10
0	23
0	11
0	7
0	15
0	30
0	30
0	8
0	38
0	45
0	22
0	10
0	1
0	24
0	22
0	119
0	9
0	21
0	100
0	2
0	4
0	19
0	25
0	9
0	104
0	31
0	35
0	76
0	33
0	18
0	22
0	4
0	21
0	18
0	24
0	0
0	29
0	6
0	25
0	80
0	3
0	4
0	1
0	39
0	5
0	120
0	23
0	104
0	28
0	6
0	25
0	19
0	24
0	23
0	0
0	9
0	7
0	21
0	3
0	21
0	5
0	28
0	23
0	5
0	3
0	23
0	76
0	20
0	0
0	3
0	31
0	11
0	81
0	12
0	23
0	5
0	19
0	24
0	57
0	10
0	100
0	100
0	76
0	24
0	6
0	30
0	4
0	29
0	22
0	76
0	76
0	30
0	9
0	119
0	21
0	0
0	35
0	21
0	17
0	37
0	21
0	49
0	133
0	21
0	119
0	37
0	21
0	19
0	20
0	11
0	19
0	105
0	33
0	12
1	114
0	55
0	0
0	9
2	5
0	14
0	2
0	0
1	12
0	20
0	14
0	14
0	20
0	14
0	8
0	1
0	0
0	0
0	0
0	0
0	0
1	31
0	13
0	21
0	12
0	1
0	12
0	19
0	14
0	12
0	17
1	5
0	19
0	13
0	14
0	15
0	12
0	5
0	9
0	1
65	14
0	3
1	32
0	17
0	20
0	16
0	17
0	12
0	12
0	17
0	12
0	11
0	26
0	29
0	17
0	15
0	17
0	13
0	12
0	14
2	15
0	17
0	8
0	8
0	10
0	0
0	6
0	6
0	12
0	5
0	6
0	5
0	11
0	5
0	4
0	4
0	5
0	15
0	0
0	0
0	2
5	56
1	27
0	49
0	5
0	5
0	55
0	0
0	0
0	15
0	14
0	17
0	6
0	17
0	14
0	17
0	14
0	17
0	17
0	14
0	14
0	14
0	14
0	14
0	19
0	14
0	17
0	14
0	19
0	16
0	19
0	18
0	18
0	15
0	15
0	18
0	15
0	15
0	15
0	17
0	20
0	20
0	17
0	20
0	17
0	20
0	17
0	17
0	20
0	17
0	19
3	2
0	28
0	74
0	8
0	7
0	97
0	9
0	21
0	29
0	1
0	22
0	3
0	5
0	6
0	3
0	4
0	2
0	24
0	31
0	10
0	33
0	25
0	92
0	71
0	4
0	5
0	22
0	11
0	6
0	22
0	78
0	72
0	20
0	15
0	5
0	1
0	14
0	17
0	22
0	12
0	3
0	17
0	13
0	2
0	6
0	30
0	29
0	9
0	7
0	91
0	29
0	7
0	75
0	8
0	4
0	4
0	1
0	10
0	12
0	23
0	1
0	35
0	7
0	25
0	88
0	5
0	28
0	80
0	72
0	73
0	11
0	6
0	2
0	93
0	45
0	3
0	41
0	31
0	44
0	44
0	75
0	3
0	1
0	4
0	17
0	90
0	7
0	14
0	23
0	12
0	66
0	26
0	35
0	86
0	10
0	68
0	18
0	65
0	81
0	2
0	3
0	19
0	28
0	30
0	4
0	19
0	11
0	29
0	4
0	21
0	1
0	24
0	0
0	29
0	29
0	6
0	31
0	32
0	0
0	6
0	17
0	23
0	5
0	8
0	63
0	7
0	62
0	7
0	96
0	80
0	3
0	39
0	28
0	28
0	56
0	21
0	19
0	20
0	22
0	6
0	93
0	27
0	13
0	21
0	71
0	2
0	20
0	22
0	121
0	26
0	0
0	70
0	5
0	27
0	19
0	37
0	28
0	1
0	18
0	67
0	22
0	6
0	6
0	18
0	29
0	5
0	18
0	22
0	123
0	66
0	83
0	18
0	7
0	30
0	1
0	1
0	22
0	54
0	60
0	30
0	5
0	6
0	19
0	7
0	7
0	6
0	4
0	71
0	66
0	23
0	6
0	0
0	4
0	156
0	1
0	1
0	5
0	1
0	5
0	15
0	23
0	7
0	17
0	98
0	109
0	7
0	22
0	24
0	0
0	0
0	7
0	8
0	5
0	80
0	0
0	4
0	5
0	23
0	89
0	83
0	23
0	8
0	24
0	100
0	7
0	6
0	0
0	5
0	6
0	14
0	2
0	34
0	12
0	4
0	20
0	1
0	12
0	26
0	69
0	153
0	7
0	7
12	37
0	18
0	31
0	12
0	23
0	129
0	29
0	29
0	3
0	28
0	80
0	70
0	5
0	13
0	85
0	27
0	71
0	4
0	0
0	26
0	10
0	18
0	95
0	88
0	21
0	72
0	16
0	23
0	88
0	0
0	41
0	4
0	5
0	39
0	35
0	29
0	1
0	9
0	8
0	56
0	12
0	71
0	10
0	8
0	9
0	4
0	8
0	11
0	16
0	14
0	10
0	70
0	10
0	9
0	30
0	67
0	70
0	76
0	8
0	6
0	6
0	3
0	7
0	31
0	5
0	2
0	7
0	10
0	14
0	7
0	27
0	25
0	1
0	32
0	9
0	63
0	9
0	30
0	8
0	22
0	37
0	29
0	33
0	31
0	6
0	19
0	15
0	66
0	8
0	3
0	25
3	12
0	11
0	2
3	232
0	233
0	189
0	202
0	167
0	168
0	180
25	61
0	37
0	6
0	139
0	56
0	10
0	11
0	9
0	10
0	10
0	8
0	2
0	0
0	1
0	0
0	32
0	10
0	13
0	11
0	4
0	11
1	16
0	8
0	14
0	4
0	27
0	9
0	8
0	7
0	1
7	8
0	47
0	31
0	32
0	28
0	36
0	27
0	8
0	33
0	28
4	9
0	13
1	3
0	4
0	8
0	11
2	5
0	14
0	0
0	0
0	2
0	36
6	78
0	6
0	11
0	1
0	5
0	7
0	8
0	8
0	27
3	11
0	23
0	1
0	2
0	4
0	6
0	15
0	5
0	0
0	3
0	31
1	18
0	8
0	10
0	6
0	13
0	7
46	421
0	42
0	72
0	53
0	53
0	49
0	40
0	41
0	26
0	23
0	17
0	16
0	11
0	11
0	11
0	12
0	21
0	13
0	6
0	9
0	9
0	14
0	5
0	1
0	2
0	4
3	7
